121.5 25.25 291.185	67.7492	-8.08217	-4.97009
121.75 25.25 291.715	88.7492	-7.39217	-4.64009
122 25.25 292.725	60.7492	-6.62217	-4.68009
122.25 25.25 293.865	26.7492	-5.98217	-4.26009
122.5 25.25 294.675	17.7492	-5.66217	-3.02009
122.75 25.25 295.095	23.7492	-5.74217	-1.37009
123 25.25 295.385	24.7492	-6.18217	-0.210087
123.25 25.25 295.625	23.7492	-6.79217	0.0999133
123.5 25.25 295.775	23.7492	-7.29217	-0.160087
123.75 25.25 295.805	21.7492	-7.43217	-0.490087
124 25.25 295.705	23.7492	-7.20217	-0.570087
124.25 25.25 295.575	24.7492	-6.86217	-0.470087
124.5 25.25 295.445	22.7492	-6.55217	-0.370087
124.75 25.25 295.315	22.7492	-6.39217	-0.380087
125 25.25 295.135	23.7492	-6.36217	-0.480087
125.25 25.25 294.945	23.7492	-6.33217	-0.650087
125.5 25.25 294.785	23.7492	-6.21217	-0.850087
125.75 25.25 294.635	23.7492	-5.96217	-1.05009
126 25.25 294.525	22.7492	-5.62217	-1.20009
126.25 25.25 294.465	22.7492	-5.28217	-1.28009
126.5 25.25 294.435	23.7492	-4.97217	-1.29009
126.75 25.25 294.435	22.7492	-4.69217	-1.27009
127 25.25 294.485	22.7492	-4.47217	-1.24009
127.25 25.25 294.555	23.7492	-4.29217	-1.23009
127.5 25.25 294.665	23.7492	-4.17217	-1.24009
127.75 25.25 294.775	23.7492	-4.10217	-1.26009
128 25.25 294.875	22.7492	-4.10217	-1.26009
128.25 25.25 294.955	22.7492	-4.16217	-1.25009
128.5 25.25 295.015	22.7492	-4.31217	-1.24009
128.75 25.25 295.065	22.7492	-4.52217	-1.23009
129 25.25 295.115	23.7492	-4.77217	-1.25009
129.25 25.25 295.155	23.7492	-5.02217	-1.31009
129.5 25.25 295.185	22.7492	-5.22217	-1.42009
129.75 25.25 295.215	23.7492	-5.30217	-1.59009
130 25.25 295.225	23.7492	-5.25217	-1.80009
130.25 25.25 295.225	22.7492	-5.07217	-2.05009
130.5 25.25 295.235	23.7492	-4.75217	-2.33009
130.75 25.25 295.255	22.7492	-4.26217	-2.60009
131 25.25 295.305	22.7492	-3.61217	-2.80009
131.25 25.25 295.385	23.7492	-2.82217	-2.86009
131.5 25.25 295.465	22.7492	-1.96217	-2.64009
131.75 25.25 295.525	22.7492	-1.10217	-1.99009
132 25.25 295.545	23.7492	-0.372173	-0.890087
132.25 25.25 295.515	23.7492	0.197827	0.479913
132.5 25.25 295.465	22.7492	0.647827	1.80991
132.75 25.25 295.435	23.7492	1.02783	2.77991
133 25.25 295.455	23.7492	1.39783	3.10991
133.25 25.25 295.495	23.7492	1.75783	2.88991
133.5 25.25 295.545	23.7492	2.01783	2.32991
133.75 25.25 295.565	22.7492	2.02783	1.68991
134 25.25 295.545	22.7492	1.66783	1.25991
134.25 25.25 295.455	23.7492	1.11783	1.15991
134.5 25.25 295.335	22.7492	0.697827	1.30991
134.75 25.25 295.215	22.7492	0.647827	1.50991
135 25.25 295.115	22.7492	1.03783	1.57991
110 25.5 280.325	559.749	-2.39217	-1.14009
110.25 25.5 280.665	424.749	-3.18217	-1.39009
110.5 25.5 279.845	419.749	-4.42217	-1.26009
110.75 25.5 277.815	594.749	-4.62217	-1.31009
111 25.5 276.525	705.749	-3.52217	-1.93009
111.25 25.5 277.255	588.749	-2.46217	-2.78009
111.5 25.5 278.775	399.749	-2.45217	-2.93009
111.75 25.5 279.095	370.749	-2.68217	-2.36009
112 25.5 278.465	429.749	-2.43217	-2.01009
112.25 25.5 277.845	451.749	-2.05217	-2.36009
112.5 25.5 277.625	437.749	-1.87217	-2.86009
112.75 25.5 278.005	458.749	-1.61217	-2.66009
113 25.5 278.965	541.749	-1.19217	-2.06009
113.25 25.5 280.325	667.749	-0.992173	-1.59009
113.5 25.5 281.965	748.749	-1.25217	-1.30009
113.75 25.5 283.325	711.749	-1.87217	-0.970087
114 25.5 283.425	612.749	-2.37217	-0.680087
